Description,Incursion Type,LAB,STID ,Zone,Northing,Easting,DH,Depth,Assay Type,COA,Sample Weight,Au,Pt,Pd,Rh,Ir,Os,Ru,Ag,Al,As,B,Ba,Be,Bi,Ca,Cd,Ce,Co,Cr,Cs,Cu,Cl,Fe,Ga,Ge,Hf,Hg,In,K,La,Li,Mg,Mn,Mo,Na,Nb,Ni,P,Pb,Rb,Re,S,Sb,Sc,Se,Sn,Sr,Ta,Te,Th,Ti,Tl,U,V,W,Y,Zn,Zr,Dy,Er,Eu,Gd,Ho,Lu,Nd,Pr,Sm,Tb,Tm,Yb
,HY20,UofN,157878,1,3907534,457151,87,15,LMB Flux,Nexus_COA_Set_4.xlsx,4.66,0.26,1.66,0,0.96,0,0.32,0,0.06,81592.12,44.73,,562.14,3.19,0,,,37.44,10.54,59.42,5.62,12.78,,,17.57,3.32,0.26,,0,,17.25,,24733.21,661.3,5.49,,0,27.35,1024.21,,90.92,0,,1.41,5.81,8.24,,544.5,0.19,0,15.14,3364,0,10.8,102.29,4.98,9.46,88.75,9.26,3.71,1.92,0.96,3.32,0.64,0.32,20.64,4.79,3.9,0.58,0.32,2.11
,HY20,UofN,157878,1,3907534,457151,87,15,LMB Flux,Nexus_COA_Set_4.xlsx,4.66,0.26,1.6,0,0.96,0,0.26,0,0,79994.78,46.64,,600.79,2.43,0,,,36.93,10.48,57.82,5.24,11.44,,,17.38,3.07,0.26,,0,,17.06,,24254.01,655.55,5.37,,0,25.81,825.51,,96.48,0,,1.02,6.26,14.95,,534.15,0.19,0,14.89,3289.88,0,10.48,102.68,4.54,9.07,76.16,9.71,3.39,1.98,0.83,3.32,0.7,0.38,19.42,4.92,3.64,0.58,0.26,1.98
,HY20,UofN,157879,1,3907534,457151,87,20,LMB Flux,Nexus_COA_Set_4.xlsx,5.05,0.12,0.31,0,0.2,0,0.16,0,0.24,76809.43,44.34,,516.24,2.74,0.04,,,32.82,10.5,45.91,4.86,14.88,,,14.84,3.53,0.43,,0.04,,14.77,,21186.24,591.44,4,,0,20.96,907.53,,81.63,0,,1.06,4.94,6.74,,615.34,0.24,0.31,11.79,3044.57,0,9.56,85.47,4.39,8.07,74.73,15.43,3.17,1.72,0.74,2.98,0.59,0.27,17.35,4.15,3.29,0.43,0.27,1.72
,HY20,UofN,157879,1,3907534,457151,87,20,LMB Flux,Nexus_COA_Set_4.xlsx,5.05,0.2,0.43,0,0.2,0,0.2,0,0.35,73323.43,46.57,,509.58,2.19,0.04,,,32.82,9.87,43.28,4.78,14.73,,,15.35,2.94,0.43,,0,,14.92,,20062.11,573.43,3.56,,0,20.8,759.09,,80.92,0,,1.02,4.31,7.79,,587.53,0.2,0.16,13.51,2890.64,0,9.64,82.53,3.96,8.66,69.8,16.96,2.98,1.68,0.78,2.98,0.63,0.27,16.76,4.19,3.76,0.51,0.27,1.65
,HY20,UofN,157879,1,3907534,457151,87,20,LMB Flux,Nexus_COA_Set_4.xlsx,5.05,0.31,0.43,0,0.27,0,0.16,0,0.39,72030.87,45.87,,514.67,3.21,0.04,,,33.8,9.95,44.34,4.58,13.51,,,15.28,2.94,0.43,,0,,15.12,,19623.42,565.2,3.41,,0,20.96,704.64,,80.02,0,,1.06,6.62,8.93,,585.18,0.2,0,14.57,2884.76,0,10.07,81.9,4.03,8.46,68.15,18.14,3.06,1.76,0.78,3.25,0.63,0.27,18.33,4.23,3.25,0.47,0.24,1.88
,HY20,UofN,157677,1,3907133,456744,88,5,LMB Flux,Nexus_COA_Set_4.xlsx,4.03,0.34,3.02,0,0.55,0,0.82,0,0.14,97393.07,32.28,,466.84,2.88,0.07,,,193.48,14.22,74.66,6.73,20.47,,,15.66,3.23,0.55,,0.07,,88.19,,20536.34,824.89,20.33,,0,38.19,851.67,,79.05,0,,1.72,23.35,27.34,,366.56,0.41,0,83.73,3583.21,0,25.89,102.41,4.81,46.64,98.15,13.87,19.51,11.4,4.6,20.26,3.78,2.06,100.28,25,19.99,3.23,1.65,11.4
,HY20,UofN,157677,1,3907133,456744,88,5,LMB Flux,Nexus_COA_Set_4.xlsx,4.03,0.34,0.07,0,0.82,0,0.48,0,0.07,96294.13,30.98,,456.06,3.16,0.07,,,192.86,13.12,74.11,7.21,19.78,,,16.07,2.95,0.62,,0.07,,88.05,,19959.4,829.7,21.43,,0,35.78,828.32,,79.12,0,,1.79,26.72,7.28,,372.74,0.41,0,92.38,3579.09,0,26.1,102.61,5.01,45.88,97.39,14.56,20.19,11.47,5.01,19.37,3.85,1.99,102.96,25.28,20.67,3.3,1.72,11.61
,HY20,UofN,157677,1,3907133,456744,88,5,LMB Flux,Nexus_COA_Set_4.xlsx,4.03,0.41,2.82,0,1.92,0,0.55,0,0.14,97118.33,32.9,,460.66,7.01,0.07,,,191.21,14.35,75.41,7.28,20.4,,,15.87,2.95,0.69,,0.07,,86.47,,20172.32,835.19,20.81,,0,37.3,1036.43,,78.99,0,,1.99,26.24,12.84,,375.77,0.41,0,92.38,3739.81,0,25.82,103.99,5.22,43,98.29,13.87,19.44,11.13,5.22,19.85,3.85,1.85,103.78,24.59,21.15,3.02,1.79,11.95
,HY20,UofN,157678,1,3907133,456744,88,10,LMB Flux,Nexus_COA_Set_4.xlsx,3.57,0.22,5.01,0.06,0.45,0,0.33,0,0,84766.58,52.04,,427.01,3.4,0,,,166.42,12.13,63.67,5.73,16.64,,,14.36,2.28,1.11,,0.06,,76.36,,23270.46,902.77,11.58,,0,33.51,963.43,,72.86,0,,1.73,20.65,10.8,,2419.44,0.45,0,75.69,3592.7,0,58.44,103.63,6.79,38.9,88.44,20.26,16.64,9.46,4.12,16.36,3.34,1.56,92.34,21.65,18.26,2.56,1.45,9.68
,HY20,UofN,157678,1,3907133,456744,88,10,LMB Flux,Nexus_COA_Set_4.xlsx,3.57,0.45,3.01,0.06,0.06,0,0.33,0,0,83542.11,54.49,,445.87,1.56,0,,,171.54,11.97,64.73,5.34,15.25,,,15.03,2.84,1.06,,0.06,,77.92,,22658.22,901.1,12.47,,0,32.73,901.65,,76.64,0,,1.73,25.99,8.96,,2396.62,0.45,0,85.32,3551.51,0,60.95,100.07,6.73,40.35,86.27,21.21,17.87,9.85,4.34,17.92,3.62,1.67,94.84,22.43,18.81,2.73,1.5,10.07
,HY20,UofN,157678,1,3907133,456744,88,10,LMB Flux,Nexus_COA_Set_4.xlsx,3.57,0.56,0.06,0,0.06,0,0.28,0,0.06,83263.82,51.21,,450.66,1.45,0,,,170.98,12.36,63.67,5.79,15.81,,,15.19,2.56,1.06,,0.06,,78.25,,22597,911.67,11.74,,0,34.45,803.14,,76.86,0,,1.67,17.25,12.58,,2411.65,0.45,0,87.16,3570.99,0,61.11,101.02,6.96,40.96,84.15,22.49,17.42,10.07,4.62,17.48,3.45,1.73,93.39,22.37,18.65,2.84,1.5,10.19
,HY20,UofN,157679,1,3907133,456744,88,15,LMB Flux,Nexus_COA_Set_4.xlsx,3.37,0.28,1.84,0,0.64,0,0.21,0.07,0,94345.74,55.15,,479.53,5.17,0.07,,,184.65,13.54,72.87,6.73,16.52,,,14.96,3.33,1.28,,0.07,,85.63,,29225.21,861.94,7.66,,0,33.74,1070.34,,86.97,0,,1.91,21.97,13.04,,1178.79,0.5,0,85.49,4131.79,0,60.89,121.28,8.22,44.3,94.49,26.01,19.49,10.7,4.54,18.22,3.69,1.7,99.87,24.03,18.36,3.05,1.7,10.56
,HY20,UofN,157679,1,3907133,456744,88,15,LMB Flux,Nexus_COA_Set_4.xlsx,3.37,0.28,0.78,0,2.98,0,0.21,0,0,92573.66,57.91,,481.72,3.33,0.07,,,186.28,13.11,70.95,6.45,17.01,,,16.94,3.12,1.28,,0.07,,85.13,,28324.99,851.31,7.58,,0,33.53,831.46,,87.19,0,,2.13,22.19,8.29,,1157.53,0.43,0,91.79,4060.91,0,60.96,117.03,8.36,46.43,89.45,26.94,18.43,11.27,4.82,18.08,3.76,1.63,102.43,24.81,19.78,3.19,1.56,11.27
,HY20,UofN,157679,1,3907133,456744,88,15,LMB Flux,Nexus_COA_Set_4.xlsx,3.37,0.28,5.88,0,0.57,0,0.28,0,0,94416.62,51.96,,445.64,4.25,0.07,,,189.97,13.54,72.3,5.81,17.22,,,15.59,2.91,1.06,,0.07,,86.83,,29161.41,861.94,7.02,,0,34.09,1020.01,,83.71,0,,1.98,23.39,5.1,,1126.34,0.43,0,95.62,4170.78,0,62.02,120.93,7.51,46.43,91.44,26.51,19.28,10.63,4.96,19.14,3.97,1.77,104.91,25.23,19.99,3.19,1.7,11.27
,HY20,UofN,157680,1,3907133,456744,88,20,LMB Flux,Nexus_COA_Set_4.xlsx,7.53,0.25,0.19,0,0.25,0,0.25,0,0.31,86021.96,32.81,,409.07,2.94,0.06,,,174.17,11.9,65.17,5.7,13.9,,,14.46,3.01,1.19,,0.06,,79.89,,24729.75,726.24,6.01,,0,29.61,840.19,,73.31,0,,1.63,21.54,9.58,,816.39,0.44,0,78.38,3444.01,0,53.15,104.93,7.76,42.64,77.88,26.42,17.47,10.08,4.38,17.53,3.44,1.63,95.66,22.29,18.22,2.75,1.5,10.27
,HY20,UofN,157680,1,3907133,456744,88,20,LMB Flux,Nexus_COA_Set_4.xlsx,7.53,0.25,0.13,0,0.31,0,0.25,0,0.38,84769.82,40.32,,439.5,2.19,0.06,,,175.74,11.83,65.05,5.82,14.78,,,15.53,2.63,1.31,,0.06,,80.14,,24266.46,728.12,6.32,,0,30.74,753.79,,77.88,0,,1.94,24.73,6.26,,817.02,0.44,0,87.21,3549.81,0,54.66,103.99,8.08,41.63,84.96,27.8,17.15,10.14,4.13,16.72,3.51,1.75,94.47,22.91,18.59,2.69,1.57,10.02
,HY20,UofN,157680,1,3907133,456744,88,20,LMB Flux,Nexus_COA_Set_4.xlsx,7.53,0.38,1.94,0,0.31,0,0.25,0,0.31,81639.47,38.82,,430.11,1.88,0.06,,,175.68,11.58,63.67,5.7,14.4,,,15.46,3.32,1.19,,0.06,,78.82,,23502.65,719.35,5.76,,0,30.49,935.35,,78.51,0,,1.94,20.03,19.72,,810.13,0.44,0,89.4,3538.55,0,53.53,105.81,7.89,40.57,84.21,28.11,16.59,9.89,4.19,17.15,3.38,1.63,92.22,22.91,19.41,2.82,1.38,9.89
,HY20,UofN,157873,1,3907127,457140,89,10,LMB Flux,Nexus_COA_Set_4.xlsx,5.67,0.27,0.87,0,0.2,0,0.27,0,0.2,69528.63,73.95,,471.15,3.75,0,,,27.76,9.19,52.1,3.89,11.6,,,13.68,2.21,0.2,,0,,12.67,,19658.43,677.18,17.37,,0,24.54,846.14,,72.75,0,,1.68,4.63,14.42,,1552.16,0.13,0,10.59,2999.05,0,9.25,85.49,3.35,6.97,70.87,12.67,2.75,1.61,0.6,2.68,0.54,0.27,14.82,3.55,2.88,0.4,0.2,1.41
,HY20,UofN,157873,1,3907127,457140,89,10,LMB Flux,Nexus_COA_Set_4.xlsx,5.67,0.27,0.13,0,0,0,0.34,0,0.07,67114.91,81.4,,477.65,3.42,0,,,27.56,9.45,53.71,3.75,10.53,,,14.08,2.41,0.2,,0,,12.34,,18578.96,663.84,17.37,,0,25.28,732.83,,75.76,0,,1.94,4.43,21.05,,1496.51,0.13,0,11.4,2972.23,0,9.39,83.68,3.08,6.77,68.99,12.6,2.88,1.48,0.6,2.55,0.54,0.27,14.42,3.42,2.88,0.4,0.2,1.41
,HY20,UofN,157873,1,3907127,457140,89,10,LMB Flux,Nexus_COA_Set_4.xlsx,5.67,0.2,0.07,0,0,0,0.2,0,0.2,70132.06,74.15,,456.53,3.49,0,,,27.02,9.65,52.63,3.89,10.59,,,13.81,1.88,0.27,,0,,12.34,,19350.01,689.92,17.5,,0,24.94,655.46,,71.14,0,,1.68,4.56,4.83,,1534.05,0.2,0,11.53,2990.33,0,9.25,84.82,2.88,6.84,74.83,13.54,2.68,1.61,0.74,2.41,0.54,0.27,14.88,3.55,2.75,0.4,0.27,1.61
,HY20,UofN,157874,1,3907127,457140,89,15,LMB Flux,Nexus_COA_Set_4.xlsx,4.36,0.23,0.05,0,0,0,0.09,0,0.09,66972.15,44.54,,476.14,2.39,0,,,27.43,9.08,45.37,3.99,13.72,,,14.72,2.57,0.41,,0.05,,12.39,,20564.12,539.45,9.95,,0,21.15,1009.17,,77.66,0,,1.1,3.17,6.01,,1537.61,0.18,0,10.87,2921.09,0,9.13,81.1,3.07,6.74,90.64,25.28,2.39,1.38,0.73,2.66,0.55,0.23,14.36,3.44,2.71,0.41,0.23,1.51
,HY20,UofN,157874,1,3907127,457140,89,15,LMB Flux,Nexus_COA_Set_4.xlsx,4.36,0.18,0.18,0,0,0,0.09,0,0,67201.51,48.94,,481.65,2.52,0,,,27.57,8.99,44.08,3.81,11.7,,,14.4,2.75,0.32,,0.05,,12.75,,20339.35,531.65,10.09,,0,20.14,679.35,,76.79,0,,1.1,3.17,13.94,,1473.39,0.18,0,11.7,2902.28,0,9.17,78.62,2.94,6.61,65.41,13.81,2.48,1.42,0.64,2.75,0.55,0.28,14.63,3.53,3.03,0.37,0.23,1.61
,HY20,UofN,157874,1,3907127,457140,89,15,LMB Flux,Nexus_COA_Set_4.xlsx,4.36,0.18,0.05,0,0,0,0.09,0,0,68118.94,52.06,,511.01,1.61,0,,,27.48,9.04,44.82,3.72,12.89,,,14.54,2.75,0.32,,0.05,,12.57,,20697.15,541.74,10.18,,0,21.42,660.55,,81.01,0,,1.24,3.94,12.98,,1503.2,0.18,0,12.11,3004.57,0,9.08,82.52,2.94,6.93,66.61,14.95,2.43,1.51,0.64,2.52,0.55,0.23,14.68,3.58,2.89,0.41,0.23,1.61
,HY20,UofN,157702,1,3906736,456744,90,5,LMB Flux,Nexus_COA_Set_4.xlsx,2.68,0.26,1.53,0,0.16,0,0.37,0,0.11,95880.41,24.14,,434.91,4.05,0.11,,,187.97,12.62,60.9,6.52,19.72,,,16.41,3,1.16,,0.05,,84.78,,20838.08,780.51,19.72,,0,31.66,756.31,,75.05,0,,2,32.29,9.15,,321.25,0.47,0,82.73,3441.81,0,23.67,96.93,4.63,45.34,78.26,20.04,18.83,10.15,4.52,18.46,3.63,1.74,100.56,23.88,20.77,3.05,1.58,10.52
,HY20,UofN,157702,1,3906736,456744,90,5,LMB Flux,Nexus_COA_Set_4.xlsx,2.68,0.42,1.58,0,0.32,0,0.26,0,0.11,97405.66,23.51,,442.9,3.05,0.11,,,193.08,12.68,63.96,6.73,21.04,,,16.09,3.31,1.21,,0.05,,85.94,,21143.13,802.6,20.72,,0,32.08,910.42,,76,0,,1.95,26.82,10.83,,327.67,0.47,0,91.88,3550.15,0,24.3,99.72,4.68,44.92,84.15,21.51,19.04,11.1,5.1,18.83,3.94,1.68,106.71,25.19,21.35,3.05,1.63,10.78
,HY20,UofN,157702,1,3906736,456744,90,5,LMB Flux,Nexus_COA_Set_4.xlsx,2.68,0.32,0.26,0,0.16,0,0.32,0,0.11,93566.24,25.09,,429.23,2.84,0.11,,,194.18,12.52,61.69,6.57,21.46,,,15.83,3.26,1.1,,0.11,,88.94,,20270.05,776.3,20.72,,0,31.03,908.84,,74.53,0,,2,28.66,13.31,,322.77,0.42,0,94.99,3386.06,0,24.93,98.35,4.68,45.81,84.84,21.62,18.88,11.04,4.79,19.62,3.68,1.74,105.77,25.19,20.2,3.16,1.68,11.2
,HY20,UofN,157704,1,3906736,456744,90,15,LMB Flux,Nexus_COA_Set_4.xlsx,4.71,0.28,5.28,0.14,0.24,0,0.33,0,0.05,80310.03,51.5,,385.94,3.82,0.09,,,162.18,10.85,56.17,5.75,17.21,,,13.25,2.97,1.27,,0.05,,74.04,,24805.09,727.18,7.45,,0,27.21,788.95,,72.25,0,,1.89,24.47,10,,1583.56,0.47,0,73.9,3367.08,0,56.64,95.92,6.65,38.72,78.05,21.6,16.46,9.15,4.1,15.75,3.21,1.6,88.14,21.22,17.02,2.5,1.32,9.2
,HY20,UofN,157704,1,3906736,456744,90,15,LMB Flux,Nexus_COA_Set_4.xlsx,4.71,0.28,0.14,0.14,0.52,0,0.28,0,0.05,77716.34,49.47,,364.81,2.55,0.09,,,160.01,10.61,55.22,5.47,15.75,,,12.45,2.55,1.23,,0.05,,74.32,,23894.95,712.56,7.4,,0,26.31,720.57,,67.25,0,,1.89,15.94,6.93,,1574.13,0.47,0,80.31,3358.59,0,57.01,94.13,6.7,38.34,79.41,22.45,15.66,8.96,3.91,15.33,3.11,1.56,85.73,20.66,17.35,2.55,1.27,9.15
,HY20,UofN,157704,1,3906736,456744,90,15,LMB Flux,Nexus_COA_Set_4.xlsx,4.71,0.28,0.9,0.28,0.28,0,0.47,0,0,77810.66,49.94,,379.01,2.5,0.09,,,164.02,10.75,55.6,5.66,16.41,,,12.54,2.97,1.37,,0.05,,75.17,,24168.46,717.27,7.17,,0,25.14,865.82,,70.6,0.05,,1.89,23.15,4.43,,1565.64,0.52,0,84.37,3317.56,0,57.63,94.98,6.65,37.77,78.8,23.39,16.65,9.01,4.06,15.47,3.21,1.7,88.66,21.13,17.45,2.5,1.46,9.48
,HY20,UofN,157705,1,3906736,456744,90,20,LMB Flux,Nexus_COA_Set_4.xlsx,5.15,0.16,2.56,0,0.1,0,0.42,0,0.31,77317.3,44.94,,370.95,6.85,0.05,,,162.53,10.72,58.48,5.49,13.86,,,13.39,2.62,1.15,,0.05,,73.76,,23666,641.35,5.86,,0,28.72,578.57,,68.06,0,,1.52,22.7,8.16,,1728.92,0.42,0,74.39,3161.22,0,58.12,89.24,6.8,39.76,72.19,19.51,15.38,9.1,4.08,15.9,3.3,1.52,87.94,21.08,16.16,2.67,1.41,9.63
,HY20,UofN,157705,1,3906736,456744,90,20,LMB Flux,Nexus_COA_Set_4.xlsx,5.15,0.26,1.41,0.05,0.68,0,0.31,0,0.31,75067.88,47.76,,382.66,2.93,0.05,,,161.33,10.62,58.69,5.39,14.65,,,13.71,2.67,1.1,,0.05,,73.24,,22886.55,636.12,5.7,,0,28.51,829.67,,69.58,0,,1.52,21.45,12.61,,1696.48,0.37,0,78.57,3157.04,0,57.18,88.88,6.54,35.99,74.34,19.56,15.59,9.05,4.29,15.33,3.14,1.46,85.43,20.61,16.84,2.56,1.31,9.05
,HY20,UofN,157705,1,3906736,456744,90,20,LMB Flux,Nexus_COA_Set_4.xlsx,5.15,0.42,0.63,0.1,0.99,0,0.31,0,0.37,74283.2,45.88,,369.79,3.66,0.05,,,161.75,10.25,58.8,5.07,15.64,,,12.97,2.77,0.89,,0.05,,73.92,,22321.58,627.75,6.02,,0,26.84,761.14,,68.27,0,,1.46,22.49,12.55,,1666.14,0.37,0,80.25,3167.5,0,57.86,87.73,6.28,37.25,73.34,19.3,16.69,9.47,3.92,15.28,3.24,1.62,88.88,20.19,16.43,2.56,1.52,9.63
,HY20,UofN,157710,1,3906716,457152,91,5,LMB Flux,Nexus_COA_Set_4.xlsx,4.49,0.11,0.06,0,0.06,0,0.17,0,0,68301.17,38.51,,478.11,1.87,0,,,29.05,10.14,51.93,4.13,12.52,,,14.33,3,0.23,,0.06,,12.97,,21011.39,579.94,10.7,,0,28.03,765.13,,81.78,0,,1.3,4.87,11.33,,1422.09,0.17,0.28,10.14,3061.66,0,9.85,90.62,2.94,6.85,75.15,12.74,2.83,1.36,0.68,2.78,0.57,0.23,15.4,3.74,3.06,0.45,0.23,1.47
,HY20,UofN,157710,1,3906716,457152,91,5,LMB Flux,Nexus_COA_Set_4.xlsx,4.49,0.11,0.68,0,0,0,0.17,0,0,66318.96,34.77,,403.69,4.87,0,,,31.04,10.76,54.09,3.91,12.4,,,13.03,2.83,0.28,,0,,14.16,,20133.55,571.44,11.5,,0,25.54,879.53,,73.51,0,,1.3,5.44,17.84,,1406.23,0.17,0,12.18,3025.98,0,10.36,89.6,3.23,7.7,74.25,14.61,3.06,1.7,0.74,2.83,0.57,0.28,15.91,3.85,3.06,0.51,0.23,1.59
,HY20,UofN,157710,1,3906716,457152,91,5,LMB Flux,Nexus_COA_Set_4.xlsx,4.49,0.17,0.06,0,0.17,0,0.11,0,0.06,62977.53,36.64,,430.25,3.11,0,,,32.45,9.8,49.95,4.08,11.84,,,14.33,2.72,0.28,,0.06,,14.78,,19210.41,555.58,10.42,,0,25.71,698.3,,76.97,0,,1.13,4.13,9.97,,1359.23,0.17,0,12.69,2927.44,0,9.97,89.77,3.11,8.5,74.36,15.29,3,1.64,0.74,2.83,0.62,0.23,17.22,3.96,3.4,0.45,0.23,1.81
,HY20,UofN,157711,1,3906716,457152,91,10,LMB Flux,Nexus_COA_Set_4.xlsx,3.8,0.3,0.12,0,0,0,0.18,0,0,65971.8,34.91,,470.28,2.9,0,,,27.03,9.54,51.15,3.56,11.68,,,13.51,2.31,0.18,,0,,12.45,,17954.05,610.52,31.89,,0,24.48,768.78,,72.97,0,,1.13,5.1,10.73,,2094.15,0.3,0,9.6,2813.73,0,8.48,106.04,2.61,6.94,115.35,12.68,2.55,1.42,0.71,2.43,0.53,0.24,14.7,3.38,2.73,0.41,0.18,1.48
,HY20,UofN,157711,1,3906716,457152,91,10,LMB Flux,Nexus_COA_Set_4.xlsx,3.8,0.24,0.06,0,0.36,0,0.12,0,0,62415.36,31.83,,462.93,2.19,0,,,27.15,8.71,49.02,3.5,10.02,,,14.11,2.96,0.24,,0.06,,12.68,,17088.65,595.11,31.36,,0,24.18,621.19,,74.27,0,,1.36,3.26,13.04,,2060.95,0.18,0,11.02,2767.5,0,8.54,102.31,2.55,6.88,118.55,13.93,2.55,1.48,0.71,2.37,0.53,0.3,15.11,3.32,2.67,0.41,0.24,1.6
,HY20,UofN,157711,1,3906716,457152,91,10,LMB Flux,Nexus_COA_Set_4.xlsx,3.8,0.24,0.06,0,0.12,0,0.12,0,0.06,63126.65,31.36,,450.42,2.9,0,,,28.1,9.13,49.2,3.5,9.25,,,14.58,2.55,0.18,,0,,12.92,,17023.45,606.96,32.36,,0,24.01,752.78,,71.13,0,,1.48,4.45,8.89,,2088.81,0.24,0,11.38,2873,0,9.13,105.51,2.43,6.82,115.41,14.88,2.67,1.72,0.71,2.67,0.53,0.3,14.88,3.56,3.08,0.41,0.24,1.6
,HY20,UofN,157712,1,3906716,457152,91,15,LMB Flux,Nexus_COA_Set_4.xlsx,7.05,0.18,0.06,0,0.48,0,0.12,0,0,63949.03,46.25,,489.42,3.1,0,,,27.59,9.06,49.05,3.75,11.74,,,15.14,2.68,0.12,,0.06,,12.93,,19798.57,555.52,32.96,,0,21.69,744.38,,80.52,0,,0.95,3.81,10.01,,1514.99,0.12,0,10.13,2892.9,0,9.42,84.27,2.86,6.97,74.68,14.9,2.68,1.61,0.72,2.5,0.54,0.24,14.12,3.58,2.74,0.48,0.18,1.61
,HY20,UofN,157712,1,3906716,457152,91,15,LMB Flux,Nexus_COA_Set_4.xlsx,7.05,0.24,0.06,0,0.24,0,0.12,0,0,63114.65,46.67,,480.9,2.21,0,,,28.31,9.24,50.66,3.46,11.5,,,15.32,2.98,0.3,,0,,12.75,,19667.46,545.86,31.65,,0,23.6,978.6,,80.22,0,,1.01,2.86,11.2,,1497.11,0.12,0,11.92,2929.26,0,9.83,84.63,2.68,6.79,70.92,26.4,2.5,1.55,0.66,2.56,0.54,0.24,14.84,3.64,2.74,0.48,0.24,1.67
,HY20,UofN,157712,1,3906716,457152,91,15,LMB Flux,Nexus_COA_Set_4.xlsx,7.05,0.18,0.06,0,0,0,0.18,0,0,62578.27,43.98,,485.19,3.16,0,,,28.13,9.36,50.78,3.58,11.2,,,15.44,2.68,0.18,,0,,12.87,,19220.47,537.16,32.72,,0,23.36,790.87,,80.16,0,,1.07,3.64,11.8,,1494.73,0.12,0,11.92,2905.42,0,9.95,85.94,2.62,7.15,73.31,13.95,2.8,1.49,0.77,2.68,0.54,0.24,15.91,3.64,3.16,0.48,0.24,1.61
,HY20,UofN,157713,1,3906716,457152,91,20,LMB Flux,Nexus_COA_Set_4.xlsx,5.11,0.07,0.13,0,0,0,0.13,0,0.33,53225.83,69.09,,386.48,3.77,0,,,23.52,7.46,44.45,2.91,5.35,,,13.47,2.25,0.26,,0,,10.44,,15938.69,467.2,22.06,,0,20.48,612.51,,63.08,0,,2.05,2.91,3.5,,1901.02,0.13,0,8.79,2354.14,0,10.44,87.65,2.58,5.55,65.19,13.08,2.31,1.32,0.53,2.18,0.46,0.2,12.35,2.97,2.38,0.33,0.2,1.26
,HY20,UofN,157713,1,3906716,457152,91,20,LMB Flux,Nexus_COA_Set_4.xlsx,5.11,0.13,0.07,0,0.07,0,0.13,0,0.4,51270.65,74.18,,337.2,2.25,0,,,23.18,7.6,44.06,2.91,8.12,,,11.1,2.05,0.26,,0,,10.57,,15489.52,455.97,24.24,,0,20.74,620.18,,59.38,0,,2.25,2.44,9.71,,1887.81,0.13,0,9.45,2268.27,0,10.3,85.21,2.44,5.28,77.74,15.32,2.38,1.26,0.53,2.05,0.4,0.2,12.29,2.84,2.38,0.33,0.2,1.32
,HY20,UofN,157713,1,3906716,457152,91,20,LMB Flux,Nexus_COA_Set_4.xlsx,5.11,0.2,0.79,0,0,0,0.2,0,0.4,53377.75,72.59,,346.85,2.31,0,,,22.66,7.99,46.11,3.17,8.92,,,11.69,1.98,0.26,,0,,10.57,,16288.77,484.57,23.98,,0,21.4,642.63,,60.31,0,,2.51,1.85,13.01,,1986.89,0.13,0,9.71,2539.75,0,10.37,90.1,2.84,5.48,67.04,15.92,2.11,1.26,0.59,1.98,0.4,0.2,11.49,2.84,2.44,0.33,0.2,1.12
,HY20,UofN,157719,1,3906706,457558,92,5,LMB Flux,Nexus_COA_Set_4.xlsx,3.49,0.66,0.51,0,0.05,0,0.05,0.1,0.31,46226.45,16.83,,410.71,2.05,0.15,,,51.66,10.79,39.23,7.42,21.02,,,17.85,3.32,1.48,,0.05,,23.94,,9682.08,611.2,10.84,,0,24.6,509.73,,72.47,0,,2.1,14.32,9.1,,329.64,0.51,0,11.97,2452.49,0,3.73,71.09,3.94,15.7,80.56,26.95,3.53,2.05,1.02,4.04,0.72,0.31,23.58,6.09,4.76,0.61,0.31,2.1
,HY20,UofN,157719,1,3906706,457558,92,5,LMB Flux,Nexus_COA_Set_4.xlsx,3.49,0.72,0.46,0,0.05,0,0.05,0.1,0.36,43710.03,16.93,,407.44,0.92,0.1,,,55.03,10.38,36.26,7.47,19.13,,,17.49,3.48,1.33,,0.05,,25.68,,9017.18,591.77,11.35,,0,23.48,612.74,,70.63,0,,2.1,20.41,11.51,,323.04,0.46,0,14.42,2391.62,0,3.94,68.18,3.73,16.83,78.2,28.59,3.94,2.1,0.97,4.55,0.77,0.36,25.22,6.39,4.65,0.66,0.31,2.2
,HY20,UofN,157719,1,3906706,457558,92,5,LMB Flux,Nexus_COA_Set_4.xlsx,3.49,0.72,0.46,0.2,0.05,0,0.05,0.05,0.36,44753.42,15.8,,400.89,1.99,0.15,,,56.06,10.79,37.95,7.11,19.69,,,18.57,3.78,1.33,,0.05,,26.19,,9298.48,599.44,11.2,,0,23.99,549.32,,69.41,0,,2.15,20.41,10.08,,324.12,0.46,0,15.19,2412.08,0,3.94,68.84,3.84,17.49,79.33,28.95,3.99,2.25,1.07,4.55,0.77,0.36,25.73,6.55,5.06,0.66,0.31,2.15
,HY20,UofN,157720,1,3906706,457558,92,10,LMB Flux,Nexus_COA_Set_4.xlsx,6.07,0.66,0.15,0,0,0,0.15,0.07,0.22,38004.27,34.8,,375.77,5.16,0.07,,,46.82,9.07,33.77,5.68,15.26,,,14.89,2.95,1.4,,0,,22.56,,9106.57,516.75,11.28,,0,20.94,393.98,,62.31,0,,2.43,15.85,2.95,,1959.94,0.44,0.37,10.54,2245.3,0,6.34,70.79,4.94,15.78,65.63,28.02,3.39,1.92,0.96,3.83,0.66,0.29,21.9,5.38,4.13,0.59,0.29,1.92
