Description,Incursion Type,LAB,STID ,Zone,Northing,Easting,DH,Depth,Assay Type,COA,Sample Weight,Au,Pt,Pd,Rh,Ir,Os,Ru,Ag,Al,As,B,Ba,Be,Bi,Ca,Cd,Ce,Co,Cr,Cs,Cu,Cl,Fe,Ga,Ge,Hf,Hg,In,K,La,Li,Mg,Mn,Mo,Na,Nb,Ni,P,Pb,Rb,Re,S,Sb,Sc,Se,Sn,Sr,Ta,Te,Th,Ti,Tl,U,V,W,Y,Zn,Zr,Dy,Er,Eu,Gd,Ho,Lu,Nd,Pr,Sm,Tb,Tm,Yb
,HY20,UofN,157825,1,3901926,455890,11,20,LMB Flux,Nexus_COA_Set_2.xlsx,,0.24,0.79,0,0.24,0,0,0.06,0.36,82150.09,,,,3.1,0.24,,,81.54,9.11,48.51,2.85,16.39,,,,,1.28,,0.06,,42.56,,11153.71,480.03,5.71,,0,16.45,828.18,,,0,,7.29,9.53,4.31,,976.33,0.36,0.91,6.86,3289.65,0,3.34,78.02,5.95,19.79,52.76,29.14,3.64,2,1.4,5.1,0.79,0.3,9.29,9.29,6.19,0.61,0.3,1.58
,HY20,UofN,157825,1,3901926,455890,11,20,LMB Flux,Nexus_COA_Set_2.xlsx,,0,0.1,0,0.05,0,0.1,0.05,0.55,83002.15,,,,2.11,0.5,,,82,8.71,43.19,2.92,17.52,,,,,1.46,,0.05,,41.53,,11239.77,473.9,5.39,,0,16.76,999.15,,,0,,22.1,9.16,10.77,,1125.99,0.4,0.3,6.9,3643.74,0,3.72,78.47,9.76,19.33,41.22,30.1,3.83,2.01,1.36,4.78,0.7,0.25,9.36,9.36,6.14,0.7,0.3,1.91
,HY20,UofN,157825,1,3901926,455890,11,20,LMB Flux,Nexus_COA_Set_2.xlsx,,0.15,0.35,0,0.05,0,0,0.1,0.7,81643.11,,,,1.76,0.45,,,84.26,8.61,43.14,2.77,17.77,,,,,1.51,,0.05,,42.68,,11018.3,472.09,5.39,,0,15.55,945.79,,,0,,22,10.72,0.55,,1111.9,0.35,0.15,7.6,3581.32,0,3.88,78.17,10.02,20.39,41.22,32.26,3.57,1.96,1.46,5.03,0.7,0.3,9.51,9.51,6.04,0.7,0.3,1.96
,HY20,UofN,157825,1,3901926,455890,11,20,LMB Flux,Nexus_COA_Set_2.xlsx,,0.05,1.11,0,0.05,0,0,0.1,0.7,80686.75,,,,3.57,0.5,,,83.71,8.41,39.71,2.77,17.26,,,,,1.51,,0.05,,42.89,,10867.29,461.82,5.29,,0,15.4,800.83,,,0,,21.44,11.22,1.91,,1100.82,0.35,0.3,7.7,3474.11,0,3.67,77.16,10.07,20.94,54.92,32.67,3.88,2.06,1.56,5.23,0.7,0.3,9.51,9.51,6.39,0.76,0.25,2.01
,HY20,UofN,157826,1,3902299,455505,13,5,LMB Flux,Nexus_COA_Set_2.xlsx,,1.18,0.08,0,0.08,0.12,0.39,0.08,0.16,76536.52,,,,2.36,0.04,,,62.58,9.71,40.69,4.21,17.61,,,,,0.83,,0.04,,31.8,,16954.39,612.84,10.22,,0.12,17.81,753.18,,,0,,0.67,9.87,3.34,,691.07,0.28,0.24,7.51,3274.13,0.31,7.12,76.14,3.18,18.12,67.57,18.48,3.58,1.97,1.14,4.36,0.71,0.28,7.15,7.15,4.99,0.63,0.28,1.93
,HY20,UofN,157826,1,3902299,455505,13,5,LMB Flux,Nexus_COA_Set_2.xlsx,,1.22,0.08,0,0.04,0.08,0.35,0.12,0.12,74688.95,,,,1.38,0.04,,,61.21,9.51,40.88,4.05,19.22,,,,,0.86,,0.04,,31.21,,16502.33,595.55,9.95,,0.08,17.18,736.67,,,0,,0.67,9.79,7.08,,667.48,0.28,0.08,8.26,3207.3,0.28,7.12,73.94,3.11,18.16,67.93,20.17,3.58,1.93,1.1,4.32,0.71,0.28,7.04,7.04,5.07,0.63,0.28,1.73
,HY20,UofN,157826,1,3902299,455505,13,5,LMB Flux,Nexus_COA_Set_2.xlsx,,1.1,0.08,0,0.04,0.08,0.28,0.04,0.16,73745.52,,,,2.95,0.04,,,61.05,9.4,39.55,4.01,17.22,,,,,0.83,,0.04,,30.54,,16242.88,594.37,10.26,,0.08,17.18,748.86,,,0,,0.79,10.26,0.9,,673.77,0.28,0.16,8.18,3218.31,0.2,7,73.35,2.95,17.73,112.35,21.35,3.38,1.89,1.14,4.56,0.67,0.28,6.92,6.92,5.11,0.67,0.31,1.81
,HY20,UofN,157826,1,3902299,455505,13,5,LMB Flux,Nexus_COA_Set_2.xlsx,,1.02,0.36,0,0.15,0.15,0.51,0.22,0.15,78994.28,,,,2.48,0,,,64.07,10.12,53.22,4.44,21.77,,,,,0.8,,0,,32.47,,17458.83,642.07,12.45,,0.07,21.7,761.55,,,0,,0.66,10.41,3.35,,729.51,0.29,0.29,7.94,3489.58,0.44,7.13,78.92,3.35,17.98,78.27,19.66,3.64,2.04,1.24,4.51,0.73,0.29,7.21,7.21,5.24,0.66,0.29,1.67
,HY20,UofN,157826,1,3902299,455505,13,5,LMB Flux,Nexus_COA_Set_2.xlsx,,1.16,0.15,0,0.15,0.07,0.58,0.29,0.22,75499.6,,,,2.18,0,,,61.38,10.27,53,4.3,20.53,,,,,0.8,,0,,31.38,,16599.72,621.62,12.09,,0.07,21.4,684.01,,,0,,0.36,10.27,3.71,,701.34,0.29,0.15,7.79,3372.36,0.44,6.92,76.37,3.06,17.91,78.27,19.29,3.49,1.97,1.16,4.44,0.66,0.29,7.13,7.13,5.02,0.66,0.29,1.75
,HY20,UofN,157826,1,3902299,455505,13,5,LMB Flux,Nexus_COA_Set_2.xlsx,,1.31,0.51,0,0.15,0.07,0.58,0.29,0.15,77756.58,,,,2.69,0,,,63.12,10.27,53.15,4.37,18.78,,,,,0.66,,0,,32.62,,17043.83,640.55,12.09,,0.07,22.21,942.83,,,0,,0.44,9.54,11.79,,728.79,0.29,0.36,8.15,3572.58,0.36,7.21,78.41,3.42,17.47,82.27,19.88,3.42,1.89,1.16,4.59,0.73,0.29,7.28,7.28,4.88,0.66,0.29,1.89
,HY20,UofN,157827,1,3902299,455505,13,10,LMB Flux,Nexus_COA_Set_2.xlsx,,0.67,0.12,0,0.08,0.04,0.27,0.16,0.08,74394.36,,,,3.25,0,,,56.21,6.7,33.36,2.51,10.97,,,,,0.63,,0,,29.04,,10292.92,442.13,5.64,,0.04,12.5,658.5,,,0,,0.27,6.51,1.49,,640.86,0.24,0,5.33,2716.3,0.2,3.17,58.6,2.08,15.84,39.51,18.03,3.17,1.69,1.1,3.92,0.63,0.24,6.51,6.51,4.51,0.55,0.24,1.61
,HY20,UofN,157827,1,3902299,455505,13,10,LMB Flux,Nexus_COA_Set_2.xlsx,,0.82,0.12,0,0.08,0.04,0.24,0.12,0.08,73806.42,,,,2.9,0,,,59.81,6.35,31.67,2.47,10.86,,,,,0.59,,0,,30.57,,10277.24,440.96,5.45,,0,12.11,642.43,,,0,,0.27,7.68,3.45,,634.98,0.24,0,6.23,2741.77,0.2,3.29,59.15,2.16,16.7,38.57,19.28,3.29,1.72,1.18,4.08,0.63,0.27,6.86,6.86,4.66,0.59,0.27,1.69
,HY20,UofN,157827,1,3902299,455505,13,10,LMB Flux,Nexus_COA_Set_2.xlsx,,0.63,0.24,0,0.04,0.04,0.2,0.12,0.08,72120.98,,,,2.67,0,,,56.91,6.47,32.1,2.35,10.35,,,,,0.51,,0,,29.32,,9951.91,430.37,5.53,,0,12.66,708.67,,,0,,0.27,7.45,2.67,,618.91,0.2,0,5.96,2621.44,0.16,3.21,57.03,2,15.91,38.61,18.93,3.14,1.69,1.14,4.12,0.63,0.24,6.62,6.62,4.43,0.55,0.24,1.57
,HY20,UofN,157827,1,3902299,455505,13,10,LMB Flux,Nexus_COA_Set_2.xlsx,,0.63,0.26,0,0.1,0.05,0.31,0.16,0.05,75217.24,,,,3.98,0,,,62.35,6.9,33.16,2.46,10.25,,,,,0.52,,0,,31.44,,10257.37,449.11,5.44,,0,12.71,756.88,,,0,,0.26,7.11,0,,649.65,0.21,0.1,5.65,2712.63,0.21,3.14,57.38,1.99,15.9,40.38,17.94,3.3,1.67,1.1,4.34,0.63,0.26,7.32,7.32,5.23,0.58,0.21,1.57
,HY20,UofN,157827,1,3902299,455505,13,10,LMB Flux,Nexus_COA_Set_2.xlsx,,0.63,0.16,0,0.05,0.05,0.31,0.16,0.1,72444.98,,,,2.46,0,,,62.61,6.7,34.47,2.51,10.41,,,,,0.52,,0,,31.49,,9990.61,432.89,5.39,,0,13.23,764.73,,,0,,0.26,7.01,2.77,,628.73,0.21,0.78,5.91,2701.65,0.21,3.09,55.39,1.99,15.95,40.12,17.78,3.03,1.67,1.26,4.08,0.58,0.26,7.17,7.17,4.76,0.63,0.26,1.62
,HY20,UofN,157827,1,3902299,455505,13,10,LMB Flux,Nexus_COA_Set_2.xlsx,,0.52,0.21,0,0.05,0.05,0.37,0.21,0.05,75583.39,,,,2.62,0,,,60.78,7.11,33.95,2.51,10.62,,,,,0.52,,0.05,,30.91,,10471.83,443.82,5.75,,0,13.08,740.14,,,0,,0.26,7.32,5.81,,639.71,0.21,0.16,5.81,2718.91,0.26,2.93,56.6,2.25,15.54,36.35,18.73,3.09,1.62,1.15,4.13,0.63,0.21,7.01,7.01,4.55,0.58,0.21,1.36
,HY20,UofN,157828,1,3902299,455505,13,15,LMB Flux,Nexus_COA_Set_2.xlsx,,0.11,2.34,0,2.74,0.06,0.34,0.11,0.06,86294.92,,,,1.89,0,,,92.75,5.89,29.26,1.2,10.46,,,,,0.23,,0,,49.03,,6234.95,349.81,4.34,,0,10.92,629.21,,,0,,0.06,5.66,5.03,,644.64,0.17,0.8,6.8,2749.44,0.34,1.89,53.32,2.23,18.17,22.35,12.06,3.49,1.77,1.49,5.2,0.69,0.23,10.4,10.4,6.46,0.69,0.29,1.71
,HY20,UofN,157828,1,3902299,455505,13,15,LMB Flux,Nexus_COA_Set_2.xlsx,,0.17,2.46,0,2.91,0.06,0.4,0.11,0,84809.05,,,,1.43,0,,,94.64,5.37,27.32,1.31,8.97,,,,,0.11,,0,,49.83,,6086.36,338.09,4.23,,0,9.26,696.65,,,0,,0,6.29,5.26,,629.21,0.17,0.57,7.32,2685.43,0.34,1.83,50.86,2.17,18.46,20.8,10.46,3.71,1.77,1.66,5.43,0.74,0.29,10.34,10.34,6.34,0.69,0.29,1.71
,HY20,UofN,157828,1,3902299,455505,13,15,LMB Flux,Nexus_COA_Set_2.xlsx,,0.11,2.46,0,2.69,0.06,0.29,0.17,0.06,84866.2,,,,3.66,0,,,92.98,5.37,28.4,1.31,8.17,,,,,0.23,,0,,49.32,,6126.37,335.46,4.29,,0,9.2,759.51,,,0,,0,7.2,3.83,,622.35,0.17,0.11,7.03,2698.57,0.34,1.77,51.89,2.29,18.17,19.14,10.69,3.71,1.89,1.43,5.09,0.63,0.23,10.4,10.4,6.34,0.63,0.23,1.54
,HY20,UofN,157828,1,3902299,455505,13,15,LMB Flux,Nexus_COA_Set_2.xlsx,,0.18,0.58,0,0.81,0,0.22,0.09,0.04,85570.07,,,,2.11,0,,,88.62,5.7,23.63,1.35,6.47,,,,,0.4,,0,,46.4,,6144.87,341.65,2.92,,0,7.73,638.74,,,0,,0.04,6.65,3.73,,631.11,0.27,0.36,6.11,2720.27,0.22,1.8,51.66,2.47,18.15,23.72,16.71,3.5,1.84,1.62,5.21,0.67,0.27,10.11,10.11,6.2,0.67,0.27,1.62
,HY20,UofN,157828,1,3902299,455505,13,15,LMB Flux,Nexus_COA_Set_2.xlsx,,0.09,0.58,0,0.85,0.04,0.22,0.04,0.04,85884.5,,,,3.91,0,,,87.91,5.26,23.72,1.35,6.06,,,,,0.45,,0,,45.64,,6221.24,337.79,2.96,,0,7.32,632.9,,,0,,0.13,6.47,2.07,,628.86,0.22,0,6.51,2687.03,0.22,1.84,52.06,2.47,17.74,25.42,17.38,3.37,1.71,1.57,5.21,0.67,0.27,9.93,9.93,6.24,0.67,0.27,1.57
,HY20,UofN,157828,1,3902299,455505,13,15,LMB Flux,Nexus_COA_Set_2.xlsx,,0.13,0.58,0,0.81,0,0.22,0.09,0.04,85974.33,,,,3.55,0,,,86.6,5.39,25.38,1.3,6.38,,,,,0.49,,0,,44.87,,6180.81,339.41,2.92,,0,7.14,675.58,,,0,,0.04,6.65,1.17,,626.17,0.22,0.13,6.83,2696.47,0.18,1.84,50.89,2.56,17.56,21.88,18.01,3.59,1.75,1.48,5.08,0.67,0.22,9.7,9.7,6.15,0.63,0.27,1.57
,HY20,UofN,157829,1,3902299,455505,13,20,LMB Flux,Nexus_COA_Set_2.xlsx,,0.2,1.32,0,1.91,0.07,0.4,0.2,0.07,88863.44,,,,4.16,0,,,80.81,7.52,37.8,2.05,11.15,,,,,0.26,,0,,40.44,,8978.7,401.04,4.82,,0,13.06,579.49,,,0,,0,7.85,3.1,,636.82,0.2,0.4,6.4,3018.85,0.33,2.7,66.17,4.42,18.67,59.64,13.85,3.43,1.98,1.58,5.01,0.73,0.33,9.24,9.24,6.2,0.66,0.26,1.85
,HY20,UofN,157829,1,3902299,455505,13,20,LMB Flux,Nexus_COA_Set_2.xlsx,,0.2,1.39,0,1.85,0,0.26,0.2,0.07,91040.49,,,,4.09,0,,,77.12,7.52,41.43,2.11,10.69,,,,,0.33,,0,,38.92,,9229.39,405,5.01,,0,11.94,661.69,,,0,,0,7.98,3.17,,639.79,0.2,0,6.47,3037.98,0.33,2.7,67.69,4.75,17.09,52.18,14.84,3.5,1.72,1.45,4.42,0.66,0.26,8.84,8.84,5.81,0.66,0.26,1.65
,HY20,UofN,157829,1,3902299,455505,13,20,LMB Flux,Nexus_COA_Set_2.xlsx,,0.2,1.39,0,1.85,0,0.33,0.2,0.07,94471,,,,2.7,0,,,78.84,8.11,41.76,2.18,11.22,,,,,0.33,,0,,39.78,,9651.61,418.52,5.28,,0,12.6,591.04,,,0,,0.07,7.78,5.61,,658.33,0.2,0,6.6,3149.47,0.33,2.7,68.48,4.75,18.41,54.69,15.5,3.5,1.85,1.45,4.88,0.66,0.26,9.04,9.04,5.87,0.66,0.26,1.58
,HY20,UofN,157829,1,3902299,455505,13,20,LMB Flux,Nexus_COA_Set_2.xlsx,,0.23,1.03,0,1.91,0,0.15,0.11,0.08,88414.46,,,,2.67,0,,,76.85,7.44,37.55,1.98,26.02,,,,,0.38,,0,,38.01,,8841.45,391.51,4.69,,0,12.78,572,,,0,,0.15,7.4,2.56,,621.99,0.19,0.19,6.26,2809.27,0.15,2.63,61.66,3.89,18.05,37.4,12.71,3.55,1.91,1.49,4.66,0.73,0.23,8.85,8.85,5.95,0.65,0.27,1.68
,HY20,UofN,157829,1,3902299,455505,13,20,LMB Flux,Nexus_COA_Set_2.xlsx,,0.19,1.14,0,1.87,0,0.15,0.11,0.08,88681.57,,,,2.33,0,,,76.32,7.29,36.63,1.98,19.8,,,,,0.34,,0.04,,38.39,,8776.58,385.02,4.69,,0,12.29,667.02,,,0,,0.11,8.09,4.66,,605.58,0.23,0.23,6.91,2832.54,0.15,2.71,60.83,3.85,18.09,32.51,13.24,3.4,1.91,1.49,4.81,0.65,0.27,8.93,8.93,5.8,0.69,0.27,1.76
,HY20,UofN,157829,1,3902299,455505,13,20,LMB Flux,Nexus_COA_Set_2.xlsx,,0.19,0.99,0,1.87,0,0.15,0.11,0.11,90322.41,,,,3.01,0,,,75.4,7.52,35.26,2.02,17.48,,,,,0.27,,0.04,,37.66,,9066.58,391.13,4.54,,0,11.91,537.66,,,0,,0.11,8.74,3.59,,615.51,0.23,0.11,7.02,2823,0.19,2.75,62.24,4.04,17.63,33.5,13.05,3.47,1.95,1.41,4.66,0.69,0.27,8.78,8.78,5.99,0.65,0.31,1.64
